Id,Culture,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,IsActive,IsDeleted,DisplayOrder,RoleId,PermissionId,Grant,Deny,OrganizationPath
639,,"2020-10-09 09:11:00",,,,0,0,0,999,322,1,0,
638,,"2020-10-09 09:11:00",,,,0,0,0,999,323,1,0,
637,,"2020-10-09 09:11:00",,,,0,0,0,999,324,1,0,
636,,"2020-10-09 09:11:00",,,,0,0,0,999,325,1,0,
643,,"2020-10-09 09:11:00",,,,0,0,0,999,326,1,0,
642,,"2020-10-09 09:11:00",,,,0,0,0,999,327,1,0,
641,,"2020-10-09 09:11:00",,,,0,0,0,999,328,1,0,
640,,"2020-10-09 09:11:00",,,,0,0,0,999,329,1,0,
645,,"2020-10-14 08:31:41",,,,0,0,0,999,330,1,0,
644,,"2020-10-14 08:31:34",,,,0,0,0,999,331,1,0,
646,,"2020-10-14 08:31:45",,,,0,0,0,999,332,1,0,
648,,"2020-10-22 08:47:25",,,,0,0,0,999,332,1,0,
647,,"2020-10-14 08:31:51",,,,0,0,0,999,333,1,0,
653,,"2020-10-29 01:50:08",,,,0,0,0,999,335,1,0,
652,,"2020-10-29 01:50:07",,,,0,0,0,999,336,1,0,
650,,"2020-10-29 01:50:05",,,,0,0,0,999,337,1,0,
649,,"2020-10-28 02:05:29",,,,0,0,0,3,338,1,0,
651,,"2020-10-29 01:50:07",,,,0,0,0,999,338,1,0,
654,,"2020-10-29 02:59:04",,,,0,0,0,999,339,1,0,
655,,"2020-10-29 08:35:58",,,,0,0,0,6,339,1,0,
656,,"2020-10-30 08:20:13",,,,0,0,0,999,431,1,0,
660,,"2020-10-30 08:20:13",,,,0,0,0,999,432,1,0,
